table_name	column_name	system_type_id	user_type_id	max_length	precision	scale	is_nullable	is_ansi_padded
Action	SortOrder	62	62	8	53	0	0	0
ActionNote	ActionNoteID	56	56	4	10	0	0	0
ActionNote	ActionID	56	56	4	10	0	0	0
ActionNote	Note	231	231	508	0	0	0	1
ActionNote	Comments	231	231	508	0	0	1	1
ActionNote	NoteDT	61	61	8	23	3	0	0
ActionNote	LoginID	52	52	2	5	0	0	0
ActionNote	Reference1	231	231	508	0	0	1	1
ActionNote	Reference2	231	231	508	0	0	1	1
ActionNote	Reference3	231	231	508	0	0	1	1
ActionPlan	ActionPlanID	52	52	2	5	0	0	0
ActionPlan	RfSpecialActionTypeID	56	56	4	10	0	0	0
ActionPlan	ActionTypeID	52	52	2	5	0	0	0
ActionPlan	ActionSubTypeID	52	52	2	5	0	0	0
ActionPlan	ActionPlanCode	231	231	508	0	0	1	1
ActionPlan	ActionName	231	231	508	0	0	0	1
ActionPlan	Description	231	231	2000	0	0	1	1
ActionPlan	ActionPlanOrder	52	52	2	5	0	0	0
ActionPlan	RfPriorityID	48	48	1	3	0	1	0
ActionPlan	IsRetired	48	48	1	3	0	0	0
ActionPlan	VariableTypeID	56	56	4	10	0	1	0
ActionPlan	AttributeTypeID	56	56	4	10	0	1	0
ActionPlan	IsCompulsory	48	48	1	3	0	0	0
ActionPlan	SortOrder	62	62	8	53	0	0	0
ActionPlan	IsOCApplicable	48	48	1	3	0	0	0
ActionPlan	IsOSApplicable	48	48	1	3	0	0	0
ActionStatus	ActionStatusID	48	48	1	3	0	0	0
ActionStatus	ActionStatus	231	231	508	0	0	0	1
ActionStatus	ConditionalFormat	231	231	508	0	0	1	1
ActionStatus	IsClosedState	48	48	1	3	0	0	0
ActionSubType	ActionSubTypeID	52	52	2	5	0	0	0
ActionSubType	ActionSubType	231	231	508	0	0	0	1
ActionSubType	ActionTypeID	52	52	2	5	0	0	0
ActionSubType	Description	231	231	508	0	0	1	1
ActionSubType	SubActionTypeCode	231	231	508	0	0	1	1
ActionSubType	ReportOrder	52	52	2	5	0	0	0
ActionSubType	Format	231	231	508	0	0	1	1
ActionSubType	IsRetired	48	48	1	3	0	0	0
ActionType	ActionTypeID	52	52	2	5	0	0	0
ActionType	ActionType	231	231	508	0	0	0	1
ActionType	Description	231	231	508	0	0	1	1
ActionType	ActionTypeCode	231	231	508	0	0	1	1
ActionType	ReportOrder	52	52	2	5	0	0	0
ActionType	Format	231	231	508	0	0	1	1
Address	AddressID	52	52	2	5	0	0	0
Address	Address1	231	231	508	0	0	1	1
Address	Address2	231	231	508	0	0	1	1
Address	City	231	231	100	0	0	1	1
Address	County	231	231	100	0	0	1	1
Address	PostCode	231	231	100	0	0	1	1
Address	Country	231	231	100	0	0	1	1
Asset	AssetID	56	56	4	10	0	0	0
Asset	AssetName	231	231	508	0	0	0	1
Asset	RfAssetTypeID	52	52	2	5	0	1	0
Asset	LineID	52	52	2	5	0	1	0
Asset	MachineStageID	52	52	2	5	0	1	0
Asset	ToolID	56	56	4	10	0	1	0
Asset	GaugeID	52	52	2	5	0	1	0
Asset	PartID	56	56	4	10	0	1	0
Asset	InventoryPackID	56	56	4	10	0	1	0
Asset	LocationID	56	56	4	10	0	1	0
Asset	IsRetired	48	48	1	3	0	0	0
Asset	CostCentreID	52	52	2	5	0	0	0
Asset	ManufacturerID	52	52	2	5	0	0	0
Asset	SupplierID	52	52	2	5	0	0	0
Asset	AcquiredDT	61	61	8	23	3	1	0
Asset	PONumber	231	231	100	0	0	1	1
Asset	OrderedDT	61	61	8	23	3	1	0
Asset	ExpectedDeliveryDT	61	61	8	23	3	1	0
Asset	ExpectedFirstUseDT	61	61	8	23	3	1	0
Asset	EndUseDT	61	61	8	23	3	1	0
Asset	EndUseReason	231	231	100	0	0	1	1
Asset	PurchaseCost	62	62	8	53	0	0	0
Asset	DefaultLocationID	56	56	4	10	0	0	0
Asset	Comments	231	231	508	0	0	1	1
AssetCountType	AssetCountTypeID	52	52	2	5	0	0	0
AssetCountType	AssetCountType	231	231	100	0	0	0	1
AssetCountType	Description	231	231	508	0	0	1	1
AssetCycleCount	AssetCycleCountID	56	56	4	10	0	0	0
AssetCycleCount	AssetID	56	56	4	10	0	0	0
AssetCycleCount	RfDayPeriodID	56	56	4	10	0	0	0
AssetCycleCount	Count	56	56	4	10	0	0	0
AssetCycleCount	AssetCountTypeID	52	52	2	5	0	0	0
AssetExplosion	AssetID	56	56	4	10	0	1	0
AssetExplosion	ParentAssetID	56	56	4	10	0	1	0
AssetExplosion	SubAssetID	56	56	4	10	0	1	0
AssetExplosion	Lvl	56	56	4	10	0	1	0
AssetExplosion	SortOrder	167	167	254	0	0	1	1
AssetExplosion	Comments	231	231	508	0	0	1	1
AssetExplosion	AssetLevelID	56	56	4	10	0	1	0
AssetLevel	AssetLevelID	56	56	4	10	0	0	0
AssetLevel	AssetID	56	56	4	10	0	0	0
AssetLevel	SubAssetID	56	56	4	10	0	0	0
AssetLevel	Sequence	167	167	10	0	0	0	1
AssetLevel	Comments	231	231	508	0	0	1	1
AssetLevel	FromDT	61	61	8	23	3	0	0
Attribute	AttributeID	56	56	4	10	0	0	0
Attribute	AttributeTypeID	52	52	2	5	0	0	0
Attribute	ProductID	56	56	4	10	0	0	0
AttributeType	AttributeTypeID	52	52	2	5	0	0	0
AttributeType	ProductTypeID	52	52	2	5	0	0	0
AttributeType	Name	231	231	508	0	0	0	1
AttributeType	Description	231	231	508	0	0	1	1
AttributeType	ImageURI	231	231	508	0	0	1	1
AttributeType	RfAttributeClassID	48	48	1	3	0	0	0
AttributeType	IsPassFail	48	48	1	3	0	0	0
AttributeType	IsRaiseCA	48	48	1	3	0	0	0
AttributeType	LikelyCauses	231	231	508	0	0	1	1
AttributeType	Impact	231	231	508	0	0	1	1
AttributeType	Weighting	62	62	8	53	0	0	0
AttributeType	Reference1	231	231	508	0	0	1	1
AttributeType	Reference2	231	231	508	0	0	1	1
