db,table,column,type,length,precision,scale,nullable,padded
dbo,ActionSubType,Format,nvarchar,508,0,0,1,1
dbo,ActionSubType,IsRetired,tinyint,1,3,0,0,0
dbo,ActionType,ActionTypeID,smallint,2,5,0,0,0
dbo,ActionType,ActionType,nvarchar,508,0,0,0,1
dbo,ActionType,Description,nvarchar,508,0,0,1,1
dbo,ActionType,ActionTypeCode,nvarchar,508,0,0,1,1
dbo,ActionType,ReportOrder,smallint,2,5,0,0,0
dbo,ActionType,Format,nvarchar,508,0,0,1,1
dbo,Address,AddressID,smallint,2,5,0,0,0
dbo,Address,Address1,nvarchar,508,0,0,1,1
dbo,Address,Address2,nvarchar,508,0,0,1,1
dbo,Address,City,nvarchar,100,0,0,1,1
dbo,Address,County,nvarchar,100,0,0,1,1
dbo,Address,PostCode,nvarchar,100,0,0,1,1
dbo,Address,Country,nvarchar,100,0,0,1,1
dbo,Asset,AssetID,int,4,10,0,0,0
dbo,Asset,AssetName,nvarchar,508,0,0,0,1
dbo,Asset,RfAssetTypeID,smallint,2,5,0,1,0
dbo,Asset,LineID,smallint,2,5,0,1,0
dbo,Asset,MachineStageID,smallint,2,5,0,1,0
dbo,Asset,ToolID,int,4,10,0,1,0
dbo,Asset,GaugeID,smallint,2,5,0,1,0
dbo,Asset,PartID,int,4,10,0,1,0
dbo,Asset,InventoryPackID,int,4,10,0,1,0
dbo,Asset,LocationID,int,4,10,0,1,0
dbo,Asset,IsRetired,tinyint,1,3,0,0,0
dbo,Asset,CostCentreID,smallint,2,5,0,0,0
dbo,Asset,ManufacturerID,smallint,2,5,0,0,0
dbo,Asset,SupplierID,smallint,2,5,0,0,0
dbo,Asset,AcquiredDT,datetime,8,23,3,1,0
dbo,Asset,PONumber,nvarchar,100,0,0,1,1
dbo,Asset,OrderedDT,datetime,8,23,3,1,0
dbo,Asset,ExpectedDeliveryDT,datetime,8,23,3,1,0
dbo,Asset,ExpectedFirstUseDT,datetime,8,23,3,1,0
dbo,Asset,EndUseDT,datetime,8,23,3,1,0
dbo,Asset,EndUseReason,nvarchar,100,0,0,1,1
dbo,Asset,PurchaseCost,float,8,53,0,0,0
dbo,Asset,DefaultLocationID,int,4,10,0,0,0
dbo,Asset,Comments,nvarchar,508,0,0,1,1
dbo,AssetCountType,AssetCountTypeID,smallint,2,5,0,0,0
dbo,AssetCountType,AssetCountType,nvarchar,100,0,0,0,1
dbo,AssetCountType,Description,nvarchar,508,0,0,1,1
dbo,AssetCycleCount,AssetCycleCountID,int,4,10,0,0,0
dbo,AssetCycleCount,AssetID,int,4,10,0,0,0
dbo,AssetCycleCount,RfDayPeriodID,int,4,10,0,0,0
dbo,AssetCycleCount,Count,int,4,10,0,0,0
dbo,AssetCycleCount,AssetCountTypeID,smallint,2,5,0,0,0
dbo,AssetExplosion,AssetID,int,4,10,0,1,0
dbo,AssetExplosion,ParentAssetID,int,4,10,0,1,0
dbo,AssetExplosion,SubAssetID,int,4,10,0,1,0
